Dataset,ID,transition_entropy,stationary_entropy,VR_exp
big,58,0.7166843386023073,1.227375524305484,0.0
big,59,0.5886326314242302,0.9559833544812091,0.0
big,60,0.5352133522483197,0.9586131462842132,1.0
big,61,0.8279320940021929,1.3447323516566803,1.0
big,62,0.6321178945226994,1.3558929687551768,0.0
big,64,0.7262967048420526,1.3901594855698771,1.0
big,65,0.5191940912308364,0.871567918447603,1.0
big,66,0.590593021680443,1.1306373306159865,1.0
big,68,0.7699539521305269,1.1411899529685658,0.0
big,69,0.6356645619998931,1.154915789500243,1.0
big,70,0.7162140486486275,1.1860772965034119,
big,71,0.6832094010010554,1.3485934552697596,1.0
big,73,0.45257801734761866,0.9071729778861993,
big,74,0.5673643511120107,1.1231777088854524,0.0
big,75,0.5710911048377151,1.0901544033840658,0.0
big,76,0.6755332769189366,1.270946810763929,1.0
big,77,0.6084256547877355,0.9458760333771546,
big,79,0.684740011054254,1.1997952429831524,1.0
big,80,0.739982845317916,1.2635901413662871,0.0
big,81,0.5238218952910186,0.9314402038842821,0.0
big,82,0.44994820433718147,0.7192570066816538,0.0
big,83,0.49626855543325116,1.2024790644996943,1.0
big,84,0.6144136863763107,1.3009803517721032,1.0
big,85,0.3411892088195708,0.8526005696459564,1.0
big,86,0.5957980570065127,1.0335427252758425,1.0
big,87,0.8112577277852302,1.515606425409967,1.0
big,88,0.4275976113058489,0.8921872692353484,1.0
big,89,0.6693698077588793,0.9448894355256166,0.0
big,91,0.5040303329441327,1.1428301315889546,1.0
big,92,0.5494902290801048,1.2197650517881948,0.0
big,94,0.867697276359373,1.3823087853422515,1.0
big,95,0.6616874297076879,1.425361470625548,1.0
big,97,0.7933361256272599,1.3106408642150267,0.0
big,98,0.7019172690236473,1.0496489048602338,1.0
big,99,0.5321140846083529,1.1659711436283642,1.0
big,100,0.685428348510286,1.2657706336593952,0.0
big,101,0.7611546710621498,1.083322192544079,1.0
big,102,0.785041595639342,1.3242661374894813,1.0
big,103,0.6096539426317823,0.9781248029326912,1.0
big,104,0.7789833242980466,1.1742087749932053,0.0
big,105,0.8766910564691085,1.3723592302769287,0.0
big,106,0.6782366959426503,1.2498628812643484,0.0
big,108,0.5848437384040692,0.9852099392494377,1.0
big,109,0.38573275956219366,0.5559868472340393,0.0
big,110,0.453852988202515,0.7683068389492871,1.0
big,112,0.5904185875910486,0.9059235421209875,0.0
big,113,0.5986467700789938,1.1406455474619615,1.0
big,114,0.6841736788345211,1.2411578313424827,
big,116,0.5009975351606457,0.9745688840213204,1.0
big,117,0.3717176503921695,0.6709652786106926,1.0
big,118,0.38407699535326884,0.9230847210484863,0.0
big,119,0.5123964744416274,0.77019118548251,0.0
big,120,0.6836691615299275,0.7792374898705499,1.0
big,121,0.638392472743227,0.9922968937284242,0.0
big,122,0.5492187493287416,0.9825740114827662,0.0
big,123,0.37768679509859776,0.83277936709914,1.0
big,124,0.4228377440789681,0.8147239751016095,1.0
big,125,0.413841534751004,0.936307961538539,1.0
big,126,0.4684301854616357,0.9774371739485307,0.0
big,127,0.5194830016077309,0.946105677063226,0.0
big,128,0.6161477998006363,1.125838218159553,0.0
big,129,0.4508289092739269,0.7795546396427755,0.0
big,130,0.46006559047325807,0.9267871889614685,0.0
big,133,0.3338187373016725,0.8448507133737576,0.0
big,135,0.4895098462450834,1.03052987447148,0.0
big,136,0.43689628826691734,0.9422285935001836,1.0
big,137,0.6672515474395427,1.1088208492972973,0.0
big,138,0.627927270454376,1.1405951989988228,0.0
big,139,0.7530605625712559,1.1762051983949422,0.0
big,140,0.6947328674086515,1.0046365333576972,0.0
big,141,0.6449831601841227,0.9157110882315286,1.0
big,142,0.4964531048769114,1.0003982098302895,0.0
big,143,0.6641600187472166,1.243008912299455,0.0
big,145,0.3398662735960433,0.6503781516832011,1.0
big,146,0.4801822277103237,0.8062690799173349,0.0
big,148,0.3286716272771294,0.642107275300609,1.0
big,149,0.34559441564120386,0.7212824519866883,0.0
big,150,0.49833078426558086,1.104918711444362,1.0
big,153,0.5756468852339947,1.1369921246299277,0.0
big,154,0.6084612606003492,1.175920502694832,1.0
big,155,0.3097873374107921,0.637453218956267,0.0
big,158,0.3934388410320325,0.829352291146835,0.0
big,159,0.3716470277848678,0.8885357997498635,1.0
big,161,0.5672478485267322,1.0288837087745373,1.0
big,162,0.42203904419579163,0.9383679572174668,0.0
big,163,0.3409797209792913,0.841204734176568,0.0
big,164,0.2978830301016462,0.6910601496902885,1.0
big,166,0.4828273558727954,0.8503684783876475,1.0
big,167,0.3430441184785616,0.7689029247389202,1.0
big,168,0.3720659275775326,0.6214342237505367,1.0
big,169,0.5784958442508275,0.9273149209466524,0.0
big,170,0.5648309743572959,0.9565828783079882,1.0
big,171,0.5265594678793543,0.8648429312831405,0.0
big,172,0.2889503254557384,0.7771235332121977,1.0
big,173,0.40286480995731316,0.9965604231193239,1.0
big,174,0.449066842031398,1.2305599490330554,1.0
big,175,0.38171571759265827,0.7800065475876274,0.0
big,176,0.3279318592115069,0.6699802790532277,0.0
big,177,0.8537890034809295,1.4098923190683996,0.0
big,179,0.6548167952799618,1.0093217245170947,1.0
big,181,0.7133611330215022,1.2536261319560882,1.0
big,182,0.5161603379149572,1.1060083497896742,1.0
big,184,0.5468879299803087,0.7833980634322443,0.0
big,185,0.4178249482947723,0.8167164869246605,1.0
big,186,0.5254752658923166,1.1778777251528116,0.0
big,187,0.4411155795675113,0.8029373378599217,1.0
big,188,0.5281655431618498,1.013582059081597,1.0
big,189,0.4657895310648042,1.1790210126151388,0.0
big,190,0.5110324668463289,1.0555221996616484,0.0
big,192,0.6949558299252484,1.1793295683871383,0.0
big,193,0.4361573764013487,0.6908369094916197,1.0
big,194,0.5284446835142558,0.9833218545271472,0.0
big,195,0.24562502695979907,0.5979667298399145,1.0
big,197,0.5515121098084688,0.8599035190304749,0.0
big,198,0.39063788178323094,0.9910369537497803,1.0
big,199,0.42260235969207066,0.9367746884911456,1.0
big,200,0.4296778787071048,1.059208563062714,1.0
big,203,0.33774612546663235,0.8060404843873018,1.0
big,204,0.56393031900354,1.1855284637978838,1.0
big,205,0.38014351439134414,0.9251056801274858,1.0
big,208,0.35926888096337606,1.0137775456149292,0.0
big,210,0.3159677219908655,0.6456121653166763,0.0
big,211,0.7303236826909493,1.4244561323502534,1.0
big,212,0.6029293572148243,1.087544778455574,0.0
big,213,0.6645630157356947,1.0416517853457654,0.0
big,214,0.5528538384188796,1.1199551809384136,1.0
big,215,0.4122112092307279,0.8871108016088536,1.0
big,216,0.357567880046523,0.807815320802211,1.0
big,217,0.348873943718175,0.755243917696011,1.0
big,220,0.6471517990744278,1.1488163875054531,
big,222,0.6660429608124614,1.1742831544051915,1.0
big,223,0.7312128403489935,1.2357504031924018,1.0
big,224,0.40298718623487384,1.0651197507012056,0.0
big,225,0.43847405643527193,0.8015688786152941,1.0
big,226,0.3872198244441458,0.7192304712722009,1.0
big,227,0.41976241755074256,0.9026574112036174,1.0
big,228,0.5645114936378517,0.9274820593518103,1.0
big,231,0.5321233622314502,1.3254094581322513,1.0
big,232,0.5919286512008948,0.9703129458697793,0.0
big,233,0.4663900653841689,0.8946672751737142,0.0
big,235,0.6088148478167253,0.5737247626200691,0.0
big,236,0.5162571783284137,1.066380443421135,1.0
big,237,0.4874564313657894,1.0714320540916134,1.0
big,238,0.783807149424769,1.3567405284238856,1.0
big,239,0.3635595842647213,0.7049109046510862,0.0
big,240,0.44282266466351017,1.134556389617626,1.0
big,241,0.4192943411804691,0.9084510977963023,
big,242,0.6103514616965059,0.6409490536482961,0.0
big,243,0.42333337651790814,0.8314997405113674,1.0
big,244,0.4276846015780447,0.914454622159525,1.0
big,249,0.7055329553299641,1.2714146487122304,1.0
big,252,0.8108393575505598,1.308764532070074,1.0
big,253,0.4620197919135345,0.9396875646959992,
big,254,0.3799053116348655,0.9496108698875172,0.0
big,255,0.3821757733838725,0.850120761477777,1.0
big,256,0.3569179487485865,0.8210759698228985,1.0
big,257,0.6199681250687906,0.9966675685734124,1.0
big,259,0.4552742319240332,0.6629080979199028,1.0
big,261,0.18975504773385946,0.7586752172103405,1.0
big,263,0.6061380036592119,1.1257818549283218,1.0
big,264,0.594366520808213,0.7686244050352556,0.0
big,266,0.5483139637671728,0.8378439587647655,0.0
big,267,0.787361689728749,1.2498842560578112,0.0
big,269,0.48487214259577854,0.8296127261904441,0.0
big,270,0.5176930232011974,0.8038070394757508,0.0
big,271,0.475538599024387,0.9956177181494235,1.0
big,272,0.4002145741537824,0.9276351242279333,1.0
big,273,0.6842145519288897,1.2497610817670066,0.0
big,275,0.7061580120386947,1.2910975581866129,0.0
big,276,0.6794679017659389,0.6643684740906148,0.0
big,277,0.2971261378509819,0.5961903122778046,1.0
big,278,0.4939270145033881,0.8962797555658886,0.0
big,280,0.4199541825979422,0.6248153518135313,0.0
big,281,0.6974744838418859,1.0135515670747823,0.0
big,282,0.4585242558683663,0.8157489804803817,0.0
big,284,0.5570118637065488,1.0886447917758593,
big,285,0.757702535683243,1.27225541804794,1.0
big,287,0.4923793528108435,1.1435687297854709,0.0
big,288,0.41574059879059616,0.9478759555554035,0.0
big,290,0.5477170284913562,1.1998196507034926,0.0
big,291,0.5345806507312411,0.9899487745023835,1.0
big,293,0.5617075060697688,0.9360403338282153,1.0
big,295,0.6279796769901259,1.2440356217047257,0.0
big,298,0.5420690558529007,0.74648671083831,1.0
big,299,0.4501736242546888,0.8680906581241509,1.0
big,300,0.29615548774403416,0.689923572184406,0.0
big,304,0.514148443497471,1.0116942492775334,0.0
big,305,0.6902923617886484,1.4083608960875964,1.0
big,306,0.4107049706937887,0.7379258001328293,1.0
big,307,0.36477645377596796,0.9398708226022555,1.0
big,309,0.481107882019741,0.7777786996403423,1.0
big,310,0.402703729999564,0.7932530113491288,1.0
big,312,0.2280417117371544,0.6005347194875795,1.0
big,313,0.5575558239266771,0.971653046519244,0.0
big,314,0.5012271517627135,0.5319184863441326,1.0
big,315,0.474423566986158,1.0364066242851104,1.0
big,316,0.6679641702462283,1.3051459923771045,0.0
big,317,0.6380146846125417,0.6119041419611203,0.0
big,320,0.3461102545654297,0.5600160405206133,0.0
big,321,0.4506559154819706,0.7491508842647597,1.0
big,322,0.4613856578738906,0.8315366764990028,0.0
big,323,0.42956099903067974,0.7692593031027218,1.0
big,324,0.3726268018487299,0.6216835093740991,0.0
big,325,0.7838559632316259,1.2716722155636988,1.0
big,326,0.7277131477018509,1.1701320853638295,0.0
big,327,0.28508735055624296,0.6686578661092792,0.0
big,328,0.7625151942326174,1.1124427573771447,
big,329,0.4258972802572612,0.7532843696145208,1.0
big,330,0.40292916273263846,0.749818023258681,1.0
big,332,0.3169457821413928,0.7591197925948222,0.0
big,335,0.5109631784438546,0.8379295073807246,1.0
big,336,0.37461902522735996,0.7676734160610336,0.0
big,337,0.4302287206166624,0.8187886365716629,0.0
big,340,0.4894231527568498,1.099109661777141,1.0
big,341,0.42279200292531716,0.9109169173844694,0.0
big,342,0.45998103006986696,0.906242750005621,1.0
big,344,0.5260236625525782,0.801629433342464,0.0
big,345,0.66623247356043,1.040464313060532,1.0
big,346,0.7613214233863015,1.2670831364269195,1.0
big,349,0.4104038600259465,0.7300798249971404,0.0
big,352,0.6376049332185507,1.049032743306633,0.0
big,357,0.4548254189970325,0.7494203401816489,1.0
big,358,0.3454937832398875,0.7284427325202794,0.0
big,359,0.6663433660018075,1.2509987060987868,1.0
big,360,0.3900747851479786,1.0154400569812108,1.0
big,361,0.33305162357544604,0.6099703299951404,1.0
big,362,0.32802733668425627,0.8602983374087732,0.0
big,363,0.381456442756704,0.7737252231777825,1.0
big,365,0.5178145014414502,0.9116692426129204,1.0
big,366,0.7280779212618285,1.390087600211231,1.0
big,367,0.6484065530790957,1.0865327388080748,0.0
big,369,0.655232565767883,1.3093110261442926,1.0
big,371,0.6256337726175846,1.0770438455988438,1.0
big,372,0.3888540363802793,0.6754320789450398,1.0
big,374,0.6129111943644809,1.0391860634859729,0.0
big,375,0.7749506113139291,1.1408478910577387,1.0
big,376,0.40560415206666095,0.6367319846781412,1.0
big,377,0.43142190983199247,0.8997106253696113,1.0
big,378,0.2403293140342772,0.6442557135845564,1.0
big,379,0.4836815568478062,0.962942206981703,1.0
big,380,0.5933102969768506,1.1804259073595411,1.0
big,381,0.7452404768141494,1.1952829319669351,0.0
big,382,0.795278058901708,1.3945281602039012,1.0
big,383,0.7413006191539802,1.2577003672019114,1.0
big,384,0.29096531761462185,0.677209468846488,1.0
big,385,0.6020169014411988,1.2773319969211658,1.0
big,386,0.5015825188204119,0.9650020105297616,1.0
big,387,0.24443406455814765,0.6196308385218413,1.0
big,388,0.3756957150687293,0.750871549933785,1.0
big,389,0.4528446499911631,0.7801948044710085,1.0
big,390,0.5408633084163031,0.8486632815493409,0.0
big,391,0.2807637190196355,0.6156022365398893,0.0
big,393,0.721340937966173,1.0398738332001112,0.0
big,397,0.3870715517366936,0.7027706351344662,0.0
big,399,0.4406574190576707,0.7557810948152969,1.0
big,400,0.6963801233196543,0.9242066524020505,1.0
big,401,0.5347350359119404,1.014555832315909,1.0
big,404,0.2739900612746883,0.5946532596866904,1.0
big,405,0.6169023635874372,1.0901302762922198,1.0
big,407,0.6727889391402516,1.1440013646781888,1.0
big,411,0.5996164711306596,1.0542971244579502,1.0
big,412,0.3098241621458972,0.6707233924513286,0.0
big,413,0.45780724329328953,1.0071057041654545,1.0
big,415,0.4652121469705734,0.8506428822313357,1.0
big,416,0.7119639770615697,0.942444879221046,0.0
big,417,0.6590014818672312,1.2420075550359426,1.0
big,418,0.630830184669669,1.1778373980607741,0.0
big,419,0.6188180473243253,1.0285648152777678,1.0
big,421,0.4418840854815286,0.7209922039402109,0.0
big,422,0.6445104469537474,1.1533741482755082,1.0
big,423,0.3011357530130331,0.6797796012423686,1.0
big,427,0.550706126234128,0.9660688954501153,0.0
big,428,0.5066774922793776,0.833959257270716,0.0
big,429,0.6304979824544678,1.0447070735586066,1.0
big,432,0.5412987202743641,0.8773051982632073,0.0
big,433,0.623385683898667,0.5309685879756175,1.0
big,435,0.3721926661688847,0.8239070623489797,1.0
big,438,0.6593092043063093,1.3048863424201809,
big,439,0.4226034345535222,0.7615385602031527,1.0
big,441,0.5496962663928996,0.9462992671981746,1.0
vir,3,0.9037426943236679,1.715974843643705,1.0
vir,4,0.9528867961238474,1.2879138089953281,1.0
vir,5,0.8144247175791556,1.7876971766234617,1.0
vir,6,0.9255485273759899,1.647211326332731,0.0
vir,7,0.9996282895073879,1.8084208835552087,0.0
vir,8,0.867940601598855,2.0231824378058025,1.0
vir,9,0.7886348362422163,1.9720198238874493,1.0
vir,10,0.89559205449301,2.147699647511545,0.0
vir,11,0.8592831816101167,2.081897287937713,1.0
vir,12,0.9146602375541856,2.173438861929891,0.0
vir,13,0.7384066167607315,1.3329661847890548,1.0
vir,14,0.7775623811782417,2.111385408468677,0.0
vir,15,0.9434787965287993,1.9569002360661563,1.0
vir,16,0.3736456198079548,0.8848795692455176,1.0
vir,17,1.1057510119624725,1.85666731365667,0.0
vir,19,0.9297792133053575,1.7551558198808976,0.0
vir,20,0.9806893939893833,1.1920490259587977,0.0
vir,21,0.7249308238693731,1.8593175467118541,1.0
vir,22,0.8275729300798997,2.225888046501729,0.0
vir,23,0.9311300575269048,1.725821281177204,1.0
vir,24,1.0893969832244292,1.901249596748447,0.0
vir,26,0.8230910111710147,2.0083724368969116,1.0
vir,27,0.8362175285217125,1.9148355167915885,0.0
vir,28,0.8639707389112192,1.0887908854303856,1.0
vir,29,0.9700187165057405,2.1791948794001983,0.0
vir,30,1.0310725858207874,2.0466144281667655,0.0
vir,31,0.833632554065635,1.8842196853957227,1.0
vir,32,0.8360738235570371,2.195497542035018,0.0
vir,33,0.940933641459667,1.8594870800214005,0.0
vir,34,0.9140515037790483,2.349798363574136,0.0
vir,35,0.9595620202231515,1.7984917689067146,0.0
vir,36,0.804016253510945,1.9753587753007664,0.0
vir,37,0.6788077383521424,2.038445492729646,
vir,38,0.7923890927789368,1.5228542396221867,1.0
vir,39,0.9081499455544867,1.8525100305561932,0.0
vir,40,1.0407265422413936,1.869549846849803,0.0
vir,41,0.9568950590913521,2.057086738102568,1.0
vir,42,0.705296841373909,1.8663588485597284,0.0
